Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Public Lighting,Provides geographic location and attribute data for the Public Lighting Network within the Adelaide City Council area,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/0620eda8-eb2a-43e8-81e6-e9ba05ba7d55,2016-07-01T01:49:22.241885,2016-07-08T07:08:04.036804,DataSA@sa.gov.au ,,N/A,,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Lighting Mount, Lighting Pole, Public Lighting","Housing, land, planning and infrastructure",Castiel
Road Lane and Intersection Network,Provides geographic location and attribute data for the Road Lane and Intersection Network within the Adelaide City Council area,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/be301846-02cd-4e1b-8d1e-c7ee938791e2,2016-07-01T01:53:24.150722,2016-07-08T07:07:38.065066,DataSA@sa.gov.au ,,N/A,,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Intersections, Road Lane","Transport, travel and motoring",Castiel
Bridges and Culverts,"Provides geographic location and attribute data for all Bridges and Culverts assets within the Adelaide City Council area
",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/ea3e581f-e70a-4f9a-9bd6-c86a0170935e,2016-06-30T07:08:39.496140,2016-07-08T07:07:06.107043,DataSA@sa.gov.au ,,N/A,,Adelaide and North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Bridge, Culvert","Housing, land, planning and infrastructure",Castiel
Kerb and Water Table Network,Provides geographic location and attribute data for all Kerb and Water Table assets within the Adelaide City Council area,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/5fc2fe0e-c228-4611-9747-9dc04460af2f,2016-07-01T01:43:55.051492,2016-07-08T07:06:00.445113,DataSA@sa.gov.au ,,N/A,,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Kerb, Water Table","Housing, land, planning and infrastructure",Castiel
Footpath Network,Provides geographic location and attribute data for all footpath assets within the Adelaide City Council area,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/2f12ea3f-55a7-4ad7-9802-822ea88f9df2,2016-06-30T07:29:48.315172,2016-07-08T07:05:30.589174,DataSA@sa.gov.au ,,N/A,, Adelaide and North Adelaide ,Local Government,data.sa.gov.au,Adelaide City Council,Footpath,"Transport, travel and motoring",Castiel
Stormwater Network,"Provides geographic location and attribute data for Stormwater Network within the Adelaide City Council area. This dataset includes information of Inlet Point, Inlet Pipe, Node, Manhole, Man Pipe, Stormwater Channel, Sedimentation Basin, Bioretention Basin, Detention Basin and Gross Pollutant Trap",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/54aeae3b-c588-41cf-be01-bb089fc69e83,2016-06-30T06:51:54.454613,2016-07-08T07:04:49.155387,DataSA@sa.gov.au ,,N/A,,Adelaide and North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"Bioretention Basin, Detention Basin, Gross Pollutant Trap, Inlet Pipe, Inlet Point, Manhole, Stormwater Channel, Stormwater Man Pipe, Stormwater Network, Stormwater Node","Water, energy, resources, environment and science",Castiel
Customer Call Types,"Pathway is the application used to log each interaction received via the ACC Customer Centre (phone calls, emails, counter visits and web chats). Each interaction is logged by a Customer Centre agent under a Call Code based on what the interaction was regarding. The Call Codes may have attached workflows to ensure the correct department receives notification of the work required. General enquiry Call Codes do not require notifications to be sent but they are important to capture what the interaction with the customer was about. 

",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/4c3afce7-601b-4560-bae7-0f228b1aea3d,2016-06-20T06:17:01.285445,2016-06-30T09:08:43.148155,city@adelaidecitycouncil.com,Breakdown of call types,"2015, ",,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"ACC, council, customer, customer centre, phonecall",Community information and citizen services,Castiel
Cafe and Restaurant Seating,Shows cafes and restaurants and the number of indoor and outdoor seating available from 2006 to 2014. BlockID in the table links to SVYBLK in the KMZ layer SurveyBlock.,dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/2a4d3214-2714-45da-9e02-40fea29d5809,2016-06-20T07:03:14.350214,2016-06-29T05:41:43.608128,city@adelaidecitycouncil.com,Seating by survey block,2006/12/31,2014/12/31,South Australia,Local Government,data.sa.gov.au,Adelaide City Council,"cafes, indoor, outdoor, restaurants, seating","Business, industry and trade",Castiel
Bike Hire Locations,Provides all the bike hiring locations that exist within the Adelaide City Council area.,dataset,,Creative Commons Attribution,active,Linked,Annually,/dataset/f9e4a4f6-6ca6-41b8-805b-f39543590b71,2014-05-29T06:50:23.280167,2016-06-22T23:59:52.680356,DataSA@sa.gov.au,N/A,Current,N/A,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"bicycle, bike locations, bikes, hiring, leisure, planning",Sports and Recreation,Castiel
Customer Interaction Volumes,"The Interaction Volumes are determined from our Contact Centre Telephony application - Customer Interaction Centre (CIC). CIC handles and routes all calls, emails, and web chats that come into our Main Number (8302 7203), our Library Number (8203 7990), our Parking Fine number (8203 7211), our Bus Station number (8221 5080), our email address (city@adelaidecitycouncil.com) and our web chats entering from www.adelaidecitycouncil.com. Note  the parking fine line and bus station line provide several options  customers that choose to speak with someone are entered into our Main Queue",dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/050a9513-8fbc-494b-bf8d-2ac120a590a5,2016-06-20T06:28:15.463420,2016-06-22T06:46:32.330929,city@adelaidecitycouncil.com,,2015/1/1,2015/12/31,Adelaide & North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"calls, contact, customer, customer centre, interaction",Community information and citizen services,Castiel
Adelaide City Council Greenhouse Gas Inventory,"The compilation of Australias emissions data  called the National Greenhouse Gas Inventory  is undertaken centrally by the Department of the Environment.  Although not legislatively required to report on our emissions, ACC have generated a GHG Inventory report on it's energy usage on a yearly basis since 2010.  

Australias National Greenhouse Accounts conform to the international guidelines adopted by the United Nations Framework Convention on Climate Change (UNFCCC). The National Greenhouse Gas Inventory is reviewed annually by a team of international experts.

Australias National Greenhouse Gas Inventory is supported by a set of institutional arrangements which is designed to facilitate close coordination of the compilation of the inventory, efficient emissions data management, broadly based quality assurance processes and secure and reliable data collections.

More information including metadata can be found at:  http://www.environment.gov.au/climate-change/greenhouse-gas-measurement/publications/national-greenhouse-accounts-factors-dec-2014 ",dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/b705f5fa-1048-4834-b5fc-591747e905fe,2015-05-26T07:57:08.326350,2016-06-22T04:19:09.099467,city@adelaidecitycouncil.com,Monthly usage is included broken down by type,2010/7/1,2014/6/30,"Adelaide City Council owned facilities, plant and fleet",Local Government,data.sa.gov.au,Adelaide City Council,"GHG, adelaide, carbon emissions, climate change, energy, greenhouse gas","Water, energy, resources, environment and science",Castiel
Enterprise Adelaide services provided to city business owners,"List of Enterprise Adelaide services provided to business owners within the Adelaide City Council area since January 2015. This dataset is updated every six months.

Adelaide City Councils Enterprise Adelaide service provides information and advice to small business owners within the Adelaide City Council area. Running a business requires broad skills and we have experienced Business Advisors who can help with free one-on-one advice and support.  We can also introduce you to professional advisors, and can connect you to business events, training and networking opportunities. ",dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/bd92f184-db03-4a45-baa6-a0f35b61a862,2016-06-16T00:31:04.374553,2016-06-16T06:51:56.152584,city@adelaidecitycouncil.com,,N/A,,Adelaide City,Local Government,data.sa.gov.au,Adelaide City Council,"advice, business, entrepreneurship, start up","Business, industry and trade",Castiel
Parking Expiations Issued by Adelaide City Council,"This dataset includes all parking expiations issued by the Adelaide City Council, and includes data such as payments, current status and exemptions for all parking expiations issued during the last three years.
The dataset is refreshed on the 6th day of every month and includes data up to the end of the previous month. The data is re-written each month as statuses etc. do change for expiations issued during the period.  The data is valid as of the date the extract is run.

FAQs

Why is the amount paid greater than the Expiation Amount?
The expiation amount is the amount of the original Expiation Fee on the date the Expiation Fee is issued.  After this time additional fees such as Reminder Fees, Search Fees and some others can be incurred which are added to the Expiation. 
All Expiation Fees, Reminder Fees, Search Fees etc. are set by the State Government.

What is FERU?
FERU is the Fines Enforcement and Recovery Unit, who are responsible for the recovery and enforcement of unpaid Expiations.  If an Expiation Remains unpaid Council will refer the matter to FERU to recover the debt.  Expiations can also be referred to FERU when a payment plan is entered into.  
When an Expiation has been referred to FERU the Offence Balance in the data is $0.

Why is the Offence Balance a negative figure?
On some occasions Adelaide City Council receives payments (either one or multiple payments) in excess of the amount payable for an Expiation. Council has a procedure in place to identify these payments and try to return the money.


",dataset,English,Creative Commons Attribution,active,Linked,monthly,/dataset/fece0507-8509-4761-9d1f-375777db1a34,2015-11-04T21:47:16.054225,2016-06-10T05:30:03.564966,city@adelaidecitycouncil.com,Individual expiation level,N/A,,Adelaide City Council area including North Adelaide,Local Government,data.sa.gov.au,Adelaide City Council,"adelaide, adelaide city council, car parking, expiations, fines, infringement, parking","Transport, travel and motoring",Castiel
